name,budget,spend,n_treated,arm_mix,ipw_value,ipw_incremental,ipw_incremental_total,dr_value,dr_incremental,dr_incremental_total,qini,qini_value,sleeping_dogs_contacted,fraction_untreated,split
v1_val,40000,40000.0,2668,"{0: 19180, 1: 0, 2: 2, 3: 2666}",84.94203588429146,-1.2396045404613858,-27082.880000000358,86.18192212978201,-1.0969495697197402,-23966.154199236884,0.2429357990772784,0.525440439061236,0,0.8778835591358477,train_val
v1_holdout,40000,40000.0,2668,"{0: 47332, 1: 0, 2: 2, 3: 2666}",84.8880128,-0.6498208000000005,-32491.040000000026,85.97860778880725,-0.7161723680203522,-35808.61840101761,-0.08479763961349528,-0.08252426678641715,0,0.94664,holdout
v2_val,40000,14017.0,13941,"{0: 7907, 1: 13922, 2: 19, 3: 0}",86.72303917978762,0.541398755034777,11828.479999999807,88.70622730073953,1.4273556012377782,31184.865175842977,0.5847641159081759,0.7731146965531716,0,0.36190955693885024,train_val
v2_holdout,40000,35284.0,32124,"{0: 17876, 1: 31334, 2: 790, 3: 0}",89.08568960000001,3.54785600000001,177392.8000000005,88.8675340483764,2.172753891548794,108637.6945774397,0.02426992617597841,0.07696491675360366,0,0.35752,holdout
v2_greedy_holdout,40000,35284.0,32124,"{0: 17876, 1: 31334, 2: 790, 3: 0}",89.08568960000001,3.54785600000001,177392.8000000005,88.8675340483764,2.172753891548794,108637.6945774397,0.02426992617597841,0.07696491675360366,0,0.35752,holdout
v3_val,40000,23850.0,13060,"{0: 8788, 1: 10530, 2: 2463, 3: 67}",86.378747711461,0.19710728670816025,4306.399999999885,87.78150173286538,0.50263003336363,10981.460968928588,1.5431617183270827,1.9800699695100032,0,0.4022336140607836,train_val
v3_holdout,40000,39997.0,27435,"{0: 22565, 1: 24362, 2: 3046, 3: 27}",88.89224320000001,3.354409600000011,167720.48000000056,89.12430277762877,2.4295226208011655,121476.13104005827,0.04280708035951417,0.10264687520342979,0,0.4513,holdout
v3_holdout_20k,20000,20000.0,18768,"{0: 31232, 1: 18460, 2: 308, 3: 0}",87.7167264,2.1788928,108944.64,88.78653640662108,2.0917562497934767,104587.81248967383,0.04280708035951417,0.10264687520342979,0,0.62464,holdout
